ind,OF_immobile_pct
1,82.75
4,58.21
5,63.22
6,64.11
7,94.25
8,86.06
9,70.96
10,93.13
11,72.44
13,97.99
14,74.58
15,93.95
16,69.68
17,96.2
18,73.28
19,72.38
20,93.52
21,97.44
22,93.35
23,80.94
24,85.67
25,85.02
26,94.02
27,85.32
28,80.24
31,79.47
32,89.51
33,91.62
34,78.85
35,89.35
36,84.84
37,97.38
38,93.28
39,84.43
40,71.89
41,99.4
42,91.77
43,85.06
44,89.43
45,92.45
46,75.42
47,90.33
48,88.25
49,85.68
50,82.01
51,82.65
52,93.67
53,96.19
54,85.63
55,64.18
56,79.95
57,79.57
58,65.42
59,40.89
60,81.46
61,88.3
62,84.22
63,80.65
64,91.85
65,71.27
66,67.34
67,83.14
68,38.09
69,86.3
70,80.97
71,74.69
72,93.84
73,80.27
74,84.97
75,72.14
76,87.57
77,86.22
78,82.11
79,74.7
80,80.57
82,84.51
83,91.9
84,88.25
85,72.96
86,87.43
87,96.56
88,83.8
89,90.59
92,94.24
93,88.1
94,89.92
95,91.99
96,92.07
97,90.42
98,59.87
99,79.1
100,85.87
101,81.71
102,88.05
103,70.33
104,74.87
105,83.78
106,76.55
107,73.8
108,67.48
109,62.76
110,88.5
111,89.57
112,91.41
113,93.41
114,92.69
115,92.3
116,87.95
117,93.52
118,77.34
119,93.02
120,86.31
121,75.09
122,91.6
123,83.56
124,65.73
125,84.28
126,79.13
127,59.28
128,78.24
129,78.63
130,91.45
131,97.5
132,76.81
133,79.4
134,87.1
135,70.82
136,92.53
137,79.03
138,79.04
139,93.17
140,71.63
141,86.47
142,85.74
143,85.33
144,88.35
145,87.68
146,93.88
147,94.57
148,81.5
149,94.76
150,93.32
151,80.89
152,87.47
153,92.11
154,58.66
155,78.54
156,74.63
157,86.4
158,53.86
159,70.06
160,76.5
161,89.7
162,93.12
163,96.39
164,92.65
165,94.54
166,94.34
167,70.7
168,79.37
169,87.34
170,88.61
173,95.07
174,80.22
175,91.41
176,96.06
177,85.79
178,87.62
179,92.8
180,66.37
181,88.36
182,84.85
183,88.77
184,84.26
185,98.63
186,91.09
187,92.45
188,74.01
189,79.24
190,85.12
191,72.47
192,83.43
201,72.63
202,52.49
203,75.41
204,94.54
205,77.18
206,90.05
207,93.72
208,84.04
210,75.47
211,87.55
213,94.32
214,75.24
215,97.8
216,90.23
217,87.7
218,79.74
219,85.13
220,96.48
221,84.08
223,90.03
226,80.52
228,77.75
231,95.97
232,81.29
233,81.43
234,88.84
235,89.47
236,59.47
237,94.21
238,80.87
239,61.42
240,80.58
243,95.39
244,95
245,93.03
246,87.65
247,92.21
248,84.72
250,91.4
251,76.36
252,79.24
253,58.72
256,89.17
257,69.51
258,82.44
259,85.89
260,94.58
261,92.13
263,96.71
264,96.21
265,92.32
266,79.38
268,91.83
270,75.64
271,94.86
273,91.4
274,91.48
275,94.26
277,92.63
278,90.08
279,73.24
280,78.35
282,88
283,96.77
284,82.39
285,99.22
286,76.13
287,66.82
288,87.87
289,69.37
290,71.22
291,58.51
292,94.14
293,88.97
294,87.93
295,88.89
296,97.36
297,94.83
298,86.17
